Operation,Category,Perf Weight,Timing Weight,Absolute Alpha,Perf/Timing Ratio,Weight Tier,Zero FP,Alpha Min,Alpha Max,Alpha CV,Analytical Formula,Analytical FLOPs,Benchmark Code,Benchmark Size,Repeats,Perf Instructions (total),"Timing (ns, total)",Time per Analytical FLOP (ns),Baseline Alpha,Baseline Command,Baseline Perf Instructions,Baseline Timing (ns),Implementation URL,Notes
sinh,Pointwise Unary,21.4825,0.8884,33.6002,24.1811,heavy,FALSE,33.2823,34.7843,0.0234,numel(output),10000000,"np.sinh(x, out=_out)",n=10000000,5,"[1664112714, 1680005622, 1739213598]",70680447.0,1.4136,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L365,Element-wise hyperbolic sine.
tanh,Pointwise Unary,21.4825,0.9667,33.6002,22.2225,heavy,FALSE,33.2823,33.6001,0.0055,numel(output),10000000,"np.tanh(x, out=_out)",n=10000000,5,"[1664112714, 1680005622, 1680005600]",76905027.0,1.5381,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L255,Element-wise hyperbolic tangent.
log,Pointwise Unary,20.3202,4.3023,31.7822,4.7231,heavy,FALSE,31.6001,32.1004,0.0080,numel(output),10000000,"np.log(x, out=_out)",n=10000000,5,"[1589110107, 1580005622, 1605019518]",342273289.0,6.8455,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L246,Element-wise natural logarithm.
cosh,Pointwise Unary,18.2857,0.7913,28.6001,23.1084,moderate,FALSE,28.2823,28.9505,0.0117,numel(output),10000000,"np.cosh(x, out=_out)",n=10000000,5,"[1414112714, 1430005622, 1447527448]",62951786.0,1.2590,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L310,Element-wise hyperbolic cosine.
exp,Pointwise Unary,14.4495,0.7651,22.6001,18.8858,moderate,FALSE,22.2823,23.3767,0.0247,numel(output),10000000,"np.exp(x, out=_out)",n=10000000,5,"[1114112714, 1130005622, 1168833958]",60867908.0,1.2174,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L245,Element-wise e^x.
exp2,Pointwise Unary,9.9740,0.8010,15.6000,12.4519,moderate,FALSE,15.2823,15.6001,0.0118,numel(output),10000000,"np.exp2(x, out=_out)",n=10000000,5,"[764112714, 780005622, 780005600]",63727070.0,1.2745,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L313,Element-wise 2^x.
clip,Pointwise Unary,1.6624,1.0996,2.6001,1.5118,baseline,FALSE,2.2823,2.6001,0.0736,numel(output),10000000,"np.clip(x, -1.0, 1.0)",n=10000000,5,"[114112734, 130005642, 130005620]",87480284.0,1.7496,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L473,"Clip array to [a_min, a_max] element-wise."
sqrt,Pointwise Unary,1.0230,0.6607,1.6000,1.5484,baseline,FALSE,1.2823,1.6001,0.1228,numel(output),10000000,"np.sqrt(x, out=_out)",n=10000000,5,"[64112817, 80005622, 80005703]",52561395.0,1.0512,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L251,Element-wise square root.
square,Pointwise Unary,1.0230,0.6741,1.6000,1.5176,baseline,FALSE,1.2823,1.6001,0.1228,numel(output),10000000,"np.square(x, out=_out)",n=10000000,5,"[64112714, 80005622, 80005600]",53628303.0,1.0726,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L252,Element-wise x^2.
reciprocal,Pointwise Unary,1.0230,0.6689,1.6000,1.5294,baseline,FALSE,1.2823,1.6001,0.1228,numel(output),10000000,"np.reciprocal(x, out=_out)",n=10000000,5,"[64112714, 80005622, 80005600]",53214850.0,1.0643,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L335,Element-wise 1/x.
deg2rad,Pointwise Unary,1.0230,0.9118,1.6000,1.1220,baseline,FALSE,1.2823,1.6001,0.1228,numel(output),10000000,"np.deg2rad(x, out=_out)",n=10000000,5,"[64112714, 80005622, 80005600]",72537512.0,1.4508,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L311,Alias for radians.
