Operation,Category,Perf Weight,Timing Weight,Absolute Alpha,Perf/Timing Ratio,Weight Tier,Zero FP,Alpha Min,Alpha Max,Alpha CV,Analytical Formula,Analytical FLOPs,Benchmark Code,Benchmark Size,Repeats,Perf Instructions (total),"Timing (ns, total)",Time per Analytical FLOP (ns),Baseline Alpha,Baseline Command,Baseline Perf Instructions,Baseline Timing (ns),Implementation URL,Notes
divide,Pointwise Binary,1.4067,0.9710,2.2002,1.4487,baseline,FALSE,1.5642,2.2001,0.1847,numel(output),10000000,"np.divide(a, b, out=_out)",n=10000000,5,"[78210644, 110005633, 110005601]",77252376.0,1.5450,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L410,Element-wise true division.
true_divide,Pointwise Binary,1.4067,0.9730,2.2002,1.4457,baseline,FALSE,1.5642,2.2001,0.1847,numel(output),10000000,"np.true_divide(a, b, out=_out)",n=10000000,5,"[78210644, 110005633, 110005601]",77407712.0,1.5482,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L454,Element-wise true division (explicit).
maximum,Pointwise Binary,1.4067,0.9659,2.2002,1.4564,baseline,FALSE,1.5642,2.2001,0.1847,numel(output),10000000,"np.maximum(a, b, out=_out)",n=10000000,5,"[78210644, 110005633, 110005601]",76842717.0,1.5369,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L411,Element-wise maximum (propagates NaN).
minimum,Pointwise Binary,1.4067,1.0114,2.2002,1.3908,baseline,FALSE,1.5642,2.2001,0.1847,numel(output),10000000,"np.minimum(a, b, out=_out)",n=10000000,5,"[78210644, 110005633, 110005601]",80458820.0,1.6092,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L412,Element-wise minimum (propagates NaN).
fmax,Pointwise Binary,1.4067,1.0281,2.2002,1.3683,baseline,FALSE,1.5642,2.2001,0.1847,numel(output),10000000,"np.fmax(a, b, out=_out)",n=10000000,5,"[78210644, 110005633, 110005601]",81793111.0,1.6359,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L431,Element-wise maximum ignoring NaN.
fmin,Pointwise Binary,1.4067,0.9636,2.2002,1.4598,baseline,FALSE,1.5642,2.2001,0.1847,numel(output),10000000,"np.fmin(a, b, out=_out)",n=10000000,5,"[78210644, 110005633, 110005601]",76663699.0,1.5333,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L432,Element-wise minimum ignoring NaN.
mod,Pointwise Binary,0.7673,10.7508,1.2001,0.0714,baseline,FALSE,1.0643,1.6999,0.2533,numel(output),10000000,"np.mod(a, b, out=_out)",n=10000000,5,"[53214789, 60005633, 84993256]",855288883.0,17.1058,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L414,Element-wise modulo.
remainder,Pointwise Binary,0.7673,10.7717,1.2001,0.0712,baseline,FALSE,1.0643,1.6999,0.2533,numel(output),10000000,"np.remainder(a, b, out=_out)",n=10000000,5,"[53214789, 60005633, 84993256]",856947653.0,17.1390,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L452,Element-wise remainder (same as mod).
fmod,Pointwise Binary,0.7673,5.7069,1.2001,0.1345,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.fmod(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",454015234.0,9.0803,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L433,Element-wise C-style fmod (remainder toward zero).
greater,Pointwise Binary,0.7673,0.6676,1.2001,1.1493,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.greater(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",53107898.0,1.0622,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L435,Element-wise x1 > x2.
greater_equal,Pointwise Binary,0.7673,0.6667,1.2001,1.1509,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.greater_equal(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",53036495.0,1.0607,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L436,Element-wise x1 >= x2.
less,Pointwise Binary,0.7673,0.6704,1.2001,1.1445,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.less(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",53331525.0,1.0666,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L442,Element-wise x1 < x2.
less_equal,Pointwise Binary,0.7673,0.6775,1.2001,1.1325,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.less_equal(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",53902681.0,1.0781,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L443,Element-wise x1 <= x2.
equal,Pointwise Binary,0.7673,0.6626,1.2001,1.1580,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.equal(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",52717163.0,1.0543,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L428,Element-wise x1 == x2.
not_equal,Pointwise Binary,0.7673,0.6699,1.2001,1.1454,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.not_equal(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",53293397.0,1.0659,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L450,Element-wise x1 != x2.
logical_and,Pointwise Binary,0.7673,0.9472,1.2001,0.8101,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.logical_and(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",75353350.0,1.5071,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L446,Element-wise logical AND.
logical_or,Pointwise Binary,0.7673,0.9473,1.2001,0.8100,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.logical_or(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",75361790.0,1.5072,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L447,Element-wise logical OR.
logical_xor,Pointwise Binary,0.7673,0.9443,1.2001,0.8126,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.logical_xor(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",75126386.0,1.5025,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L448,Element-wise logical XOR.
copysign,Pointwise Binary,0.7673,0.9158,1.2001,0.8378,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.copysign(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",72860093.0,1.4572,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L427,Copy sign of x2 to magnitude of x1 element-wise.
nextafter,Pointwise Binary,0.7673,7.1806,1.2001,0.1069,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.nextafter(a, b, out=_out)",n=10000000,5,"[28210644, 60005633, 60005601]",571258460.0,11.4252,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L449,Return next float after x1 toward x2 element-wise.
ldexp,Pointwise Binary,0.7673,0.0000,1.2001,N/A,baseline,FALSE,0.5642,1.2001,0.3715,numel(output),10000000,"np.ldexp(a, b, out=_out)",n=10000000,5,"[28210645, 60005634, 60005602]",,N/A,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L440,Return x1 * 2**x2 element-wise.
heaviside,Pointwise Binary,0.3837,4.2660,0.6001,0.0899,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.heaviside(x, 0.5)",n=10000000,5,"[14112726, 30005634, 30005612]",339385582.0,6.7877,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L437,Heaviside step function element-wise.
std,Reductions,2.9411,2.0390,4.6001,1.4424,moderate,FALSE,4.2823,4.6001,0.0408,numel(input),10000000,np.std(x),n=10000000,5,"[214112734, 230005642, 230005620]",162215114.0,3.2443,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L501,Standard deviation; cost_multiplier=2 (two passes).
var,Reductions,2.9411,2.0397,4.6001,1.4419,moderate,FALSE,4.2823,4.6001,0.0408,numel(input),10000000,np.var(x),n=10000000,5,"[214112724, 230005632, 230005610]",162269367.0,3.2454,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L502,Variance; cost_multiplier=2 (two passes).
nanstd,Reductions,2.9411,3.9664,4.6001,0.7415,moderate,FALSE,4.2823,4.6001,0.0408,numel(input),10000000,np.nanstd(x),n=10000000,5,"[214112734, 230005642, 230005620]",315549436.0,6.3110,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L532,Standard deviation ignoring NaNs.
nanvar,Reductions,2.9411,3.9612,4.6001,0.7425,moderate,FALSE,4.2823,4.6001,0.0408,numel(input),10000000,np.nanvar(x),n=10000000,5,"[214112724, 230005632, 230005610]",315136733.0,6.3027,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L534,Variance ignoring NaNs.
ptp,Reductions,1.6636,0.5205,2.6020,3.1962,baseline,FALSE,2.2842,2.6021,0.0735,numel(input),10000000,np.ptp(x),n=10000000,5,"[114210389, 130103297, 130103275]",41408036.0,0.8282,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L549,Peak-to-peak (max - min) range of array.
max,Reductions,1.0237,0.2677,1.6011,3.8241,baseline,FALSE,1.2832,1.6011,0.1227,numel(input),10000000,np.max(x),n=10000000,5,"[64161549, 80054457, 80054435]",21300899.0,0.4260,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L497,Maximum value of array.
min,Reductions,1.0237,0.2724,1.6011,3.7581,baseline,FALSE,1.2832,1.6011,0.1227,numel(input),10000000,np.min(x),n=10000000,5,"[64161549, 80054457, 80054435]",21668469.0,0.4334,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L498,Minimum value of array.
nanmax,Reductions,1.0237,0.2770,1.6011,3.6957,baseline,FALSE,1.2832,1.6011,0.1227,numel(input),10000000,np.nanmax(x),n=10000000,5,"[64161549, 80054457, 80054435]",22034714.0,0.4407,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L525,Maximum ignoring NaNs.
nanmin,Reductions,1.0237,0.2773,1.6011,3.6917,baseline,FALSE,1.2832,1.6011,0.1227,numel(input),10000000,np.nanmin(x),n=10000000,5,"[64161549, 80054457, 80054435]",22061528.0,0.4412,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L528,Minimum ignoring NaNs.
sum,Reductions,1.0230,0.3006,1.6000,3.4032,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,np.sum(x),n=10000000,5,"[64112714, 80005622, 80005600]",23916240.0,0.4783,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L496,Sum of array elements.
prod,Reductions,1.0230,0.7650,1.6000,1.3373,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,np.prod(x),n=10000000,5,"[64112714, 80005743, 80005721]",60860026.0,1.2172,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L499,Product of array elements.
mean,Reductions,1.0230,0.2999,1.6000,3.4111,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,np.mean(x),n=10000000,5,"[64112719, 80005627, 80005605]",23855535.0,0.4771,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L500,Arithmetic mean of array elements.
cumsum,Reductions,1.0230,1.6426,1.6000,0.6228,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,"np.cumsum(x, out=_out)",n=10000000,5,"[64112709, 80005617, 80005595]",130679570.0,2.6136,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L505,Cumulative sum of array elements.
cumprod,Reductions,1.0230,1.6430,1.6000,0.6226,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,"np.cumprod(x, out=_out)",n=10000000,5,"[64112709, 80005738, 80005716]",130710581.0,2.6142,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L506,Cumulative product of array elements.
nansum,Reductions,1.0230,1.7500,1.6000,0.5846,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,np.nansum(x),n=10000000,5,"[64112714, 80005622, 80005600]",139222319.0,2.7844,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L533,Sum ignoring NaNs.
nanmean,Reductions,1.0230,2.2902,1.6000,0.4467,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,np.nanmean(x),n=10000000,5,"[64112719, 80005627, 80005605]",182201515.0,3.6440,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L526,Mean ignoring NaNs.
nanprod,Reductions,1.0230,2.3123,1.6000,0.4424,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,np.nanprod(x),n=10000000,5,"[64112714, 80005743, 80005721]",183956236.0,3.6791,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L530,Product ignoring NaNs.
average,Reductions,1.0230,0.3017,1.6000,3.3908,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,np.average(x),n=10000000,5,"[64112724, 80005632, 80005610]",24000823.0,0.4800,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L516,Weighted average of array elements.
nancumprod,Reductions,1.0230,3.2476,1.6000,0.3150,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,"np.nancumprod(x, out=_out)",n=10000000,5,"[64112709, 80005738, 80005716]",258362887.0,5.1673,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L523,Cumulative product ignoring NaNs.
nancumsum,Reductions,1.0230,3.2608,1.6000,0.3137,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,"np.nancumsum(x, out=_out)",n=10000000,5,"[64112709, 80005617, 80005595]",259415870.0,5.1883,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L524,Cumulative sum ignoring NaNs.
cumulative_sum,Reductions,1.0230,1.6425,1.6000,0.6228,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,"np.cumulative_sum(x, out=_out)",n=10000000,5,"[64112709, 80005617, 80005595]",130674372.0,2.6135,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L519,Cumulative sum (NumPy 2.x array API).
cumulative_prod,Reductions,1.0230,1.6425,1.6000,0.6228,baseline,FALSE,1.2823,1.6001,0.1228,numel(input),10000000,"np.cumulative_prod(x, out=_out)",n=10000000,5,"[64112709, 80005738, 80005716]",130674175.0,2.6135,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L518,Cumulative product (NumPy 2.x array API).
argmax,Reductions,0.3837,0.3012,0.6001,1.2739,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,np.argmax(x),n=10000000,5,"[14112714, 30005622, 30005600]",23964792.0,0.4793,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L503,Index of maximum value.
argmin,Reductions,0.3837,0.2879,0.6001,1.3328,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,np.argmin(x),n=10000000,5,"[14112714, 30005622, 30005600]",22904521.0,0.4581,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L504,Index of minimum value.
any,Reductions,0.3837,0.5733,0.6001,0.6693,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,np.any(x),n=10000000,5,"[14112714, 30005622, 30005600]",45611909.0,0.9122,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L515,Test whether any array element is true.
all,Reductions,0.3837,0.5753,0.6001,0.6670,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,np.all(x),n=10000000,5,"[14112714, 30005622, 30005600]",45766102.0,0.9153,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L512,Test whether all array elements are true.
median,Reductions,0.3837,7.3576,0.6001,0.0522,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,np.median(x),n=10000000,5,"[14113240, 30006148, 30006126]",585343269.0,11.7069,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L520,Median of array elements (sorts internally).
nanmedian,Reductions,0.3837,7.8619,0.6001,0.0488,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,np.nanmedian(x),n=10000000,5,"[14113240, 30006148, 30006126]",625461859.0,12.5092,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L527,Median ignoring NaNs.
percentile,Reductions,0.3837,8.4340,0.6001,0.0455,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,"np.percentile(x, 50)",n=10000000,5,"[14113044, 30005952, 30005930]",670970863.0,13.4194,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L535,q-th percentile of array elements.
nanpercentile,Reductions,0.3837,8.9149,0.6001,0.0430,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,"np.nanpercentile(x, 50)",n=10000000,5,"[14113044, 30005952, 30005930]",709233569.0,14.1847,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L529,q-th percentile ignoring NaNs.
quantile,Reductions,0.3837,8.4253,0.6001,0.0455,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,"np.quantile(x, 0.5)",n=10000000,5,"[14113051, 30005959, 30005937]",670284336.0,13.4057,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L536,q-th quantile of array elements.
nanquantile,Reductions,0.3837,8.9023,0.6001,0.0431,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,"np.nanquantile(x, 0.5)",n=10000000,5,"[14113051, 30005959, 30005937]",708230784.0,14.1646,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L531,q-th quantile ignoring NaNs.
count_nonzero,Reductions,0.3837,0.9680,0.6001,0.3964,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,np.count_nonzero(x),n=10000000,5,"[14112714, 30005622, 30005600]",77007237.0,1.5401,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L517,Count non-zero elements.
nanargmax,Reductions,0.3837,1.8476,0.6001,0.2077,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,np.nanargmax(x),n=10000000,5,"[14112714, 30005622, 30005600]",146986547.0,2.9397,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L521,Index of maximum ignoring NaNs.
nanargmin,Reductions,0.3837,1.8424,0.6001,0.2083,negligible,FALSE,0.2823,0.6001,0.3714,numel(input),10000000,np.nanargmin(x),n=10000000,5,"[14112714, 30005622, 30005600]",146575284.0,2.9315,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L522,Index of minimum ignoring NaNs.
partition,Sorting,14.1337,2.2850,22.1061,6.1854,moderate,FALSE,4.6806,22.2648,0.6181,n,10000000,"np.partition(x, 5000000)",n=10000000,5,1105309282,181786730.0,3.6357,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L111,Quickselect; cost = n per slice.
argpartition,Sorting,13.8459,2.8642,21.6560,4.8341,moderate,FALSE,4.6340,22.4338,0.6194,n,10000000,"np.argpartition(x, 5000000)",n=10000000,5,1082795142,227860939.0,4.5572,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L136,Indirect partition; cost = n per slice.
intersect1d,Sorting,5.2067,0.6046,8.1437,8.6118,moderate,FALSE,7.3801,8.1481,0.0560,(n+m) * ceil(log2(n+m)),500000000,"np.intersect1d(a, b)",n=10000000,5,20359265948,48100279.28,0.0192,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L340,Set intersection; cost = (n+m)*ceil(log2(n+m)).
setxor1d,Sorting,5.2067,0.6725,8.1437,7.7423,moderate,FALSE,7.3801,8.1481,0.0560,(n+m) * ceil(log2(n+m)),500000000,"np.setxor1d(a, b)",n=10000000,5,20359265948,53504090.24,0.0214,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L389,Symmetric set difference; cost = (n+m)*ceil(log2(n+m)).
argsort,Sorting,3.3538,0.5447,5.2456,6.1572,moderate,FALSE,4.5681,5.2524,0.0783,n * ceil(log2(n)),240000000,np.argsort(x),n=10000000,5,6294647272,43332614.71,0.0361,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L62,Indirect sort; cost = n*ceil(log2(n)) per slice.
unique_inverse,Sorting,3.3538,0.9542,5.2456,3.5148,moderate,FALSE,4.5681,5.2524,0.0783,n * ceil(log2(n)),240000000,np.unique_inverse(x),n=10000000,5,6294647272,75912712.62,0.0633,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L268,Sort-based unique; cost = n*ceil(log2(n)).
in1d,Sorting,2.9630,1.0723,4.6343,2.7632,moderate,FALSE,3.9540,4.6399,0.0895,(n+m) * ceil(log2(n+m)),500000000,"np.in1d(a, b)",n=10000000,5,11586026801,85311117.12,0.0341,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L313,Set membership; cost = (n+m)*ceil(log2(n+m)).
isin,Sorting,2.9630,1.0692,4.6343,2.7712,moderate,FALSE,3.9540,4.6399,0.0895,(n+m) * ceil(log2(n+m)),500000000,"np.isin(a, b)",n=10000000,5,11586026698,85060327.68,0.0340,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L326,Set membership; cost = (n+m)*ceil(log2(n+m)).
union1d,Sorting,2.9576,0.4175,4.6259,7.0841,moderate,FALSE,3.6129,4.8040,0.1478,(n+m) * ceil(log2(n+m)),500000000,"np.union1d(a, b)",n=10000000,5,11564832268,33216292.86,0.0133,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L357,Set union; cost = (n+m)*ceil(log2(n+m)).
sort,Sorting,2.8185,0.2501,4.4083,11.2695,moderate,FALSE,3.6726,4.4128,0.1023,n * ceil(log2(n)),240000000,np.sort(x),n=10000000,5,5289929132,19897094.75,0.0166,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L43,Comparison sort; cost = n*ceil(log2(n)) per slice.
unique,Sorting,2.8185,0.3440,4.4083,8.1933,moderate,FALSE,3.6726,4.4128,0.1023,n * ceil(log2(n)),240000000,np.unique(x),n=10000000,5,5289929132,27364499.71,0.0228,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L227,Sort-based unique; cost = n*ceil(log2(n)).
