Operation,Status,Category,Cost Formula,Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
log,benchmarked,Pointwise Unary,numel(output),14.4457,,"14,446 FLOPs (1000 elements)",high,Element-wise natural logarithm.,,31.78,4.4976,3.2119,0.0080,"np.log(x, out=_out)","x: (10000000,)","[1589110107, 1580005622, 1605019518]",341446879.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L246,moderate,5
cosh,benchmarked,Pointwise Unary,numel(output),12.9994,,"12,999 FLOPs (1000 elements)",high,Element-wise hyperbolic cosine.,,28.60,0.8376,15.5198,0.0117,"np.cosh(x, out=_out)","x: (10000000,)","[1414112714, 1430005622, 1447527448]",63592085.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L310,moderate,5
exp,benchmarked,Pointwise Unary,numel(output),10.2723,,"10,272 FLOPs (1000 elements)",high,Element-wise e^x.,,22.60,0.9005,11.4073,0.0247,"np.exp(x, out=_out)","x: (10000000,)","[1114112714, 1130005622, 1168833958]",68365077.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L245,moderate,5
exp2,benchmarked,Pointwise Unary,numel(output),7.0906,,"7,091 FLOPs (1000 elements)",high,Element-wise 2^x.,,15.60,0.7636,9.2858,0.0118,"np.exp2(x, out=_out)","x: (10000000,)","[764112714, 780005622, 780005600]",57974688.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L313,moderate,5
clip,benchmarked,Pointwise Unary,numel(output),1.1818,,"1,182 FLOPs (1000 elements)",medium,"Clip array to [a_min, a_max] element-wise.",,2.60,1.1391,1.0375,0.0736,"np.clip(x, -1.0, 1.0)","x: (10000000,), a_min=-1.0, a_max=1.0","[114112734, 130005642, 130005620]",86481011.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L473,baseline,5
sqrt,benchmarked,Pointwise Unary,numel(output),0.7273,,727 FLOPs (1000 elements),medium,Element-wise square root.,,1.60,0.6967,1.0439,0.1228,"np.sqrt(x, out=_out)","x: (10000000,)","[64112817, 80005622, 80005703]",52894874.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L251,baseline,5
square,benchmarked,Pointwise Unary,numel(output),0.7273,,727 FLOPs (1000 elements),medium,Element-wise x^2.,,1.60,0.7070,1.0287,0.1228,"np.square(x, out=_out)","x: (10000000,)","[64112714, 80005622, 80005600]",53675307.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L252,baseline,5
reciprocal,benchmarked,Pointwise Unary,numel(output),0.7273,,727 FLOPs (1000 elements),medium,Element-wise 1/x.,,1.60,0.7090,1.0258,0.1228,"np.reciprocal(x, out=_out)","x: (10000000,)","[64112714, 80005622, 80005600]",53826603.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L335,baseline,5
deg2rad,benchmarked,Pointwise Unary,numel(output),0.7273,,727 FLOPs (1000 elements),medium,Alias for radians.,,1.60,0.9482,0.7670,0.1228,"np.deg2rad(x, out=_out)","x: (10000000,)","[64112714, 80005622, 80005600]",71983439.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L311,baseline,5
rad2deg,benchmarked,Pointwise Unary,numel(output),0.7273,,727 FLOPs (1000 elements),medium,Alias for degrees.,,1.60,0.9459,0.7689,0.1228,"np.rad2deg(x, out=_out)","x: (10000000,)","[64112714, 80005622, 80005600]",71812538.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L331,baseline,5
